W,M,K,N,F,method,R,S,old,median_us,min_worker_us,max_worker_us
2,5120,5120,1,0,10,1,1,1,52.821335,52.67733,54.10133
2,5120,5120,1,0,11,1,1,1,40.032,39.903999999999996,40.725335
2,5120,5120,1,0,12,1,1,1,40.133335,39.866665,40.84267
2,5120,5120,1,0,17,1,1,1,44.576,44.208,45.626670000000004
2,5120,5120,1,1,0,4,32,0,36.245335,35.824,36.80533
2,5120,5120,1,1,1,1,8,0,44.544,43.75467,44.906665000000004
2,5120,5120,1,1,1,4,32,0,36.64,35.81333,36.66133000000001
2,5120,5120,1,2,1,1,8,0,44.34667,43.674665000000005,44.538665
2,5120,5120,1,3,0,4,32,0,80.122665,79.989335,80.895995
2,5120,5120,1,3,3,4,32,0,49.14667,48.64533,49.690664999999996
2,5120,5120,1,3,4,4,32,0,47.354665,46.71467,47.54134
2,5120,5120,1,3,5,4,32,0,34.831995,34.544,35.26933
2,5120,5120,4,0,10,1,1,1,190.04798499999998,190.042665,190.25600500000002
2,5120,5120,4,0,11,1,1,1,140.28799,139.74934000000002,140.75733
2,5120,5120,4,0,12,1,1,1,140.112005,139.781335,140.618665
2,5120,5120,4,0,17,1,1,1,150.06399499999998,149.61599999999999,150.77333
2,5120,5120,4,1,0,4,32,0,106.20266000000001,105.952,107.06132500000001
2,5120,5120,4,1,1,1,8,0,123.64267000000001,122.82666,124.22933499999999
2,5120,5120,4,1,1,4,32,0,89.62133,89.130665,90.799995
2,5120,5120,4,2,1,1,8,0,123.28532999999999,122.28267,123.66933499999999
2,5120,5120,4,3,0,4,32,0,276.154665,275.10933,277.44
2,5120,5120,4,3,3,4,32,0,137.76,137.386665,138.28800999999999
2,5120,5120,4,3,4,4,32,0,129.354665,128.608,129.43466999999998
2,5120,5120,4,3,5,4,32,0,101.408005,100.58133000000001,101.58399499999999
2,5120,17408,1,0,10,1,1,1,167.45601,166.357335,170.96000500000002
2,5120,17408,1,0,11,1,1,1,125.78666,125.70133,127.10934
2,5120,17408,1,0,12,1,1,1,125.952,125.74400499999999,127.125335
2,5120,17408,1,0,17,1,1,1,134.44267,134.234665,135.93066
2,5120,17408,1,1,0,4,32,0,99.984,99.578665,101.568
2,5120,17408,1,1,1,1,8,0,127.616005,127.216005,129.05599999999998
2,5120,17408,1,1,1,4,32,0,91.33867000000001,91.22134,92.384
2,5120,17408,1,2,1,1,8,0,127.54133,127.50399999999999,129.088005
2,5120,17408,1,3,0,4,32,0,241.42399,238.92799,242.55467
2,5120,17408,1,3,3,4,32,0,137.51999999999998,137.33866999999998,139.690665
2,5120,17408,1,3,4,4,32,0,131.600005,131.30666000000002,132.874665
2,5120,17408,1,3,5,4,32,0,94.38934,94.224,96.101335
2,17408,5120,1,0,10,1,1,1,162.954675,162.8,164.848
2,17408,5120,1,0,11,1,1,1,119.904005,119.52533,120.912
2,17408,5120,1,0,12,1,1,1,119.765335,119.51466500000001,120.933335
2,17408,5120,1,0,17,1,1,1,128.62932999999998,128.09067000000002,129.696
2,17408,5120,1,1,0,4,32,0,96.512,96.240005,96.96533
2,17408,5120,1,1,1,1,8,0,131.43466,131.24801,132.144
2,17408,5120,1,1,1,4,32,0,98.208005,97.70667,98.432
2,17408,5120,1,2,1,1,8,0,131.93066499999998,130.976005,132.17066499999999
2,17408,5120,1,3,0,4,32,0,237.130665,236.45866999999998,240.144
2,17408,5120,1,3,3,4,32,0,132.250665,131.653325,132.98134
2,17408,5120,1,3,4,4,32,0,126.677335,126.57600500000001,127.85066499999999
2,17408,5120,1,3,5,4,32,0,93.871995,93.80266499999999,94.255995
4,5120,5120,1,0,10,1,1,1,60.480005000000006,60.426665,61.402665
4,5120,5120,1,0,11,1,1,1,49.018665,48.879999999999995,49.17867
4,5120,5120,1,0,12,1,1,1,52.325334999999995,52.101335,52.367999999999995
4,5120,5120,1,0,17,1,1,1,54.069334999999995,53.68,54.128
4,5120,5120,1,1,0,2,8,0,44.496,44.341335,44.60267
4,5120,5120,1,1,0,4,32,0,46.069329999999994,45.904005,46.613335000000006
4,5120,5120,1,1,1,1,8,0,56.933335,56.741335,57.290665000000004
4,5120,5120,1,1,1,2,16,0,48.832,48.592,49.311994999999996
4,5120,5120,1,1,1,4,32,0,49.647999999999996,49.423995,49.775999999999996
4,5120,5120,1,2,1,1,8,0,56.506665,56.341335,56.96
4,5120,5120,1,3,0,4,32,0,103.503995,103.26933,104.98133
4,5120,5120,1,3,3,4,32,0,70.186665,69.89333500000001,70.80533
4,5120,5120,1,3,4,4,32,0,70.47999999999999,70.29333,71.22134
4,5120,5120,1,3,5,4,32,0,45.696,45.637335,46.12267
4,5120,5120,4,0,10,1,1,1,215.17332499999998,215.04,216.58667
4,5120,5120,4,0,11,1,1,1,174.89066,174.394665,175.429345
4,5120,5120,4,0,12,1,1,1,177.30133,176.592005,177.86134
4,5120,5120,4,0,17,1,1,1,184.77865500000001,184.65599500000002,184.98666500000002
4,5120,5120,4,1,0,2,8,0,129.09332999999998,128.88,129.807995
4,5120,5120,4,1,0,4,32,0,132.32,131.92,132.90132999999997
4,5120,5120,4,1,1,1,8,0,154.37867,154.07467,155.00267
4,5120,5120,4,1,1,2,16,0,140.94398999999999,139.84533,141.125335
4,5120,5120,4,1,1,4,32,0,140.069335,139.93066499999998,140.752
4,5120,5120,4,2,1,1,8,0,154.05333,153.85067,155.039995
4,5120,5120,4,3,0,4,32,0,356.767975,356.14401,357.381345
4,5120,5120,4,3,3,4,32,0,198.223985,197.91467,199.370665
4,5120,5120,4,3,4,4,32,0,188.277335,187.930665,189.34401
4,5120,5120,4,3,5,4,32,0,135.01867,134.970665,135.81333
4,5120,17408,1,0,10,1,1,1,189.386665,188.30401,189.99466999999999
4,5120,17408,1,0,11,1,1,1,159.706665,156.709335,160.048005
4,5120,17408,1,0,12,1,1,1,162.362665,160.042665,162.43201
4,5120,17408,1,0,17,1,1,1,166.970675,166.613335,167.83467000000002
4,5120,17408,1,1,0,2,8,0,128.858665,128.085335,129.434665
4,5120,17408,1,1,0,4,32,0,126.02665999999999,125.80799999999999,126.34666
4,5120,17408,1,1,1,1,8,0,161.376,160.981335,162.33599500000003
4,5120,17408,1,1,1,2,16,0,135.696005,135.32267000000002,136.74133
4,5120,17408,1,1,1,4,32,0,132.192,131.92533,133.290665
4,5120,17408,1,2,1,1,8,0,161.685335,161.205335,162.49600500000003
4,5120,17408,1,3,0,4,32,0,313.466675,312.352005,313.78134
4,5120,17408,1,3,3,4,32,0,209.797335,209.53066,210.26665500000001
4,5120,17408,1,3,4,4,32,0,214.93866,213.34932,216.656005
4,5120,17408,1,3,5,4,32,0,126.18665999999999,125.834665,126.613335
4,17408,5120,1,0,10,1,1,1,185.46133500000002,185.066665,185.68
4,17408,5120,1,0,11,1,1,1,149.58933,149.375995,150.11200000000002
4,17408,5120,1,0,12,1,1,1,152.20266,151.808,152.410665
4,17408,5120,1,0,17,1,1,1,158.154665,157.818665,158.933335
4,17408,5120,1,1,0,2,8,0,134.58666499999998,134.096,134.81600500000002
4,17408,5120,1,1,0,4,32,0,133.914665,133.71734,133.94133499999998
4,17408,5120,1,1,1,1,8,0,166.224,165.77066000000002,166.666665
4,17408,5120,1,1,1,2,16,0,142.186665,141.984005,142.448
4,17408,5120,1,1,1,4,32,0,137.914665,137.685335,138.04267
4,17408,5120,1,2,1,1,8,0,166.032,166.01599499999998,166.44799999999998
4,17408,5120,1,3,0,4,32,0,310.92265499999996,309.80801,311.79199
4,17408,5120,1,3,3,4,32,0,195.823995,195.552,196.405325
4,17408,5120,1,3,4,4,32,0,194.159995,193.653345,194.725335
4,17408,5120,1,3,5,4,32,0,134.016,133.967995,134.613335
