M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
5120,5120,1,0,1,32,486.170655,474.288005,491.888,"[491.888, 474.288005, 486.170655]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,1,1,32,381.62133500000004,381.130675,388.17068,"[388.17068, 381.62133500000004, 381.130675]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,2,1,32,97.14667,96.45333500000001,98.138665,"[98.138665, 97.14667, 96.45333500000001]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,2,2,32,66.069335,65.97867,66.688,"[66.688, 66.069335, 65.97867]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,2,4,8,62.794664999999995,62.256,63.029335,"[63.029335, 62.794664999999995, 62.256]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",3698,5120,0.01158351851,3.728948881e-08,1.182597046e-07
5120,5120,1,2,4,16,47.664,47.621335,47.92,"[47.664, 47.92, 47.621335]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",3395,5120,0.01002266051,3.104249063e-08,1.058974647e-07
5120,5120,1,2,4,32,49.018665,48.77867,49.322665,"[49.018665, 49.322665, 48.77867]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,3,4,32,100.976,100.250665,102.416,"[102.416, 100.976, 100.250665]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
5120,5120,1,4,4,8,96.293335,95.68,97.34400500000001,"[97.34400500000001, 96.293335, 95.68]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",4027,5120,0.01130544463,3.219755982e-08,1.172345753e-07
5120,5120,1,4,4,32,52.928005,52.72533,53.15733,"[53.15733, 52.928005, 52.72533]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",3928,5120,0.009634151429,3.108933631e-08,1.017142291e-07
5120,5120,1,5,1,32,464.92801,463.67465000000004,482.255995,"[482.255995, 464.92801, 463.67465000000004]","['1788871535897961179', '1788871603764092255', '1788871639187968698']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
