gpu,M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
1,5120,5120,1,2,2,32,66.70933,66.05867,66.832,"[66.832, 66.70933, 66.05867]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,2,4,32,49.578665,49.125330000000005,49.6,"[49.578665, 49.6, 49.125330000000005]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,10,4,32,54.591995,53.920005,55.09867,"[55.09867, 54.591995, 53.920005]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,11,4,32,46.480005000000006,45.91467,46.528005,"[46.528005, 46.480005000000006, 45.91467]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,12,4,32,44.224000000000004,43.477329999999995,44.378665,"[44.378665, 44.224000000000004, 43.477329999999995]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,13,8,32,68.60266999999999,68.10132999999999,68.65067,"[68.60266999999999, 68.65067, 68.10132999999999]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,14,2,32,40.94933,40.485330000000005,41.072005000000004,"[40.94933, 41.072005000000004, 40.485330000000005]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,14,4,32,42.474665,42.122665,42.624005,"[42.474665, 42.624005, 42.122665]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,17,4,32,43.546665000000004,42.965334999999996,43.562665,"[43.546665000000004, 43.562665, 42.965334999999996]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,30,4,32,89.57333,88.82666499999999,89.98933,"[89.57333, 89.98933, 88.82666499999999]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,31,4,32,56.032,55.514664999999994,56.490665,"[56.032, 56.490665, 55.514664999999994]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,1,36,2,32,62.06933,61.06133,62.143995000000004,"[62.06933, 62.143995000000004, 61.06133]","['1788873296768730881', '1788873516785197126', '1788873599306106605']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
1,5120,5120,4,2,2,32,191.328,190.432005,192.13334,"[190.432005, 191.328, 192.13334]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,2,4,32,136.41067,136.0,137.349325,"[136.0, 136.41067, 137.349325]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,10,4,32,155.57867,153.95734,156.656005,"[153.95734, 155.57867, 156.656005]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,11,4,32,125.376,124.234665,125.86667,"[124.234665, 125.376, 125.86667]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,12,4,32,121.983995,121.178665,127.54667,"[121.178665, 121.983995, 127.54667]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,13,8,32,171.344,169.946665,174.28800999999999,"[169.946665, 171.344, 174.28800999999999]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
