M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed
5120,5120,1,14,2,32,40.330664999999996,40.29333,40.373329999999996,"[40.330664999999996, 40.29333, 40.373329999999996]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,36,2,32,62.047995,61.07733,62.122665,"[62.047995, 62.122665, 61.07733]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,100,2,32,41.194665,41.056,41.242670000000004,"[41.194665, 41.242670000000004, 41.056]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,102,2,32,40.197334999999995,40.08533,40.29333,"[40.197334999999995, 40.29333, 40.08533]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,103,2,32,41.493335,41.434664999999995,41.567994999999996,"[41.434664999999995, 41.493335, 41.567994999999996]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,112,2,32,61.141329999999996,59.658665,62.037335,"[62.037335, 61.141329999999996, 59.658665]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,113,2,32,72.66133500000001,71.72267,72.810665,"[72.810665, 72.66133500000001, 71.72267]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,200,1,32,38.085335,37.68533,38.32,"[38.32, 38.085335, 37.68533]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,202,2,32,45.71733,45.57867,45.797335000000004,"[45.71733, 45.57867, 45.797335000000004]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
5120,5120,1,212,2,32,79.70133,78.36267,79.86134,"[79.70133, 79.86134, 78.36267]","['1788880310332223323', '1788880371221294447', '1788880383743229173']",0
17408,5120,1,14,2,32,115.82932,115.74933,116.016005,"[115.82932, 116.016005, 115.74933]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,36,2,32,175.24800499999998,175.072005,177.216,"[177.216, 175.24800499999998, 175.072005]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,100,2,32,113.674665,113.28,113.792,"[113.674665, 113.792, 113.28]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,102,2,32,117.322665,117.263995,117.568005,"[117.263995, 117.568005, 117.322665]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,103,2,32,116.437335,116.18666999999999,116.570665,"[116.570665, 116.437335, 116.18666999999999]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,112,2,32,175.744,175.386665,176.93332500000002,"[176.93332500000002, 175.744, 175.386665]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,113,2,32,204.309325,204.288,206.01600000000002,"[206.01600000000002, 204.309325, 204.288]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,200,1,32,110.89066,110.21333999999999,111.472,"[111.472, 110.21333999999999, 110.89066]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,202,2,32,107.50399999999999,107.30667,107.536005,"[107.30667, 107.50399999999999, 107.536005]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
17408,5120,1,212,2,32,193.797335,193.59999,195.530665,"[195.530665, 193.797335, 193.59999]","['1788880315665588538', '1788880345584934245', '1788880393886426509']",0
5120,17408,1,14,2,32,113.567995,113.30667,113.89333500000001,"[113.30667, 113.89333500000001, 113.567995]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,36,2,32,185.135995,184.208005,185.55731500000002,"[184.208005, 185.135995, 185.55731500000002]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,100,2,32,114.66132999999999,114.51734,114.98667499999999,"[114.51734, 114.98667499999999, 114.66132999999999]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,102,2,32,112.29866,111.989335,113.09867,"[111.989335, 113.09867, 112.29866]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,103,2,32,115.456,114.874665,115.583995,"[114.874665, 115.583995, 115.456]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,112,2,32,182.67732999999998,181.802665,183.482665,"[181.802665, 182.67732999999998, 183.482665]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,113,2,32,218.15467,217.434685,218.8,"[217.434685, 218.15467, 218.8]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
5120,17408,1,200,1,32,108.815995,107.99467,108.970665,"[107.99467, 108.970665, 108.815995]","['1788880321737091399', '1788880338783731472', '1788880376902603436']",0
